No.,Time,Source,Destination,Protocol,Length,Info
19512,10.1349161,10.0.1.2,10.0.1.3,TCP,74,34873  >  9750 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002484 TSecr=0 WS=128
19513,10.1350275,10.0.1.3,10.0.1.2,TCP,54,"9750  >  34873 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19514,10.1353061,10.0.1.2,10.0.1.3,TCP,74,39335  >  9749 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002485 TSecr=0 WS=128
19515,10.1353823,10.0.1.3,10.0.1.2,TCP,54,"9749  >  39335 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19516,10.1404177,10.0.1.2,10.0.1.3,TCP,74,45487  >  9760 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002490 TSecr=0 WS=128
19517,10.1407719,10.0.1.2,10.0.1.3,TCP,74,37445  >  9751 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002490 TSecr=0 WS=128
19518,10.1407902,10.0.1.3,10.0.1.2,TCP,54,"9760  >  45487 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19519,10.1408501,10.0.1.3,10.0.1.2,TCP,54,"9751  >  37445 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19520,10.1414598,10.0.1.2,10.0.1.3,TCP,74,45179  >  9754 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002491 TSecr=0 WS=128
19521,10.1417184,10.0.1.3,10.0.1.2,TCP,54,"9754  >  45179 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19522,10.1419795,10.0.1.2,10.0.1.3,TCP,74,42685  >  9756 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002491 TSecr=0 WS=128
19523,10.1421476,10.0.1.3,10.0.1.2,TCP,54,"9756  >  42685 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19524,10.142456,10.0.1.2,10.0.1.3,TCP,74,46549  >  9758 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002492 TSecr=0 WS=128
19525,10.1426326,10.0.1.3,10.0.1.2,TCP,54,"9758  >  46549 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19526,10.1428194,10.0.1.2,10.0.1.3,TCP,74,39001  >  9752 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002492 TSecr=0 WS=128
19527,10.1429665,10.0.1.3,10.0.1.2,TCP,54,"9752  >  39001 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19528,10.1433358,10.0.1.2,10.0.1.3,TCP,74,44163  >  9755 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002493 TSecr=0 WS=128
19529,10.1435533,10.0.1.3,10.0.1.2,TCP,54,"9755  >  44163 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19530,10.143708,10.0.1.2,10.0.1.3,TCP,74,46033  >  9753 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002493 TSecr=0 WS=128
19531,10.1438662,10.0.1.3,10.0.1.2,TCP,54,"9753  >  46033 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19532,10.1440948,10.0.1.2,10.0.1.3,TCP,74,36171  >  9757 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002493 TSecr=0 WS=128
19533,10.1441852,10.0.1.3,10.0.1.2,TCP,54,"9757  >  36171 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19534,10.1444654,10.0.1.2,10.0.1.3,TCP,74,43573  >  9759 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002494 TSecr=0 WS=128
19535,10.1445521,10.0.1.3,10.0.1.2,TCP,54,"9759  >  43573 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
19536,10.1499695,10.0.1.2,10.0.1.3,TCP,74,34047  >  9761 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM=1 TSval=3297002499 TSecr=0 WS=128
